study,study_id,cohort,group,measure,units,n,timepoint,timepoint_mean,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_mean,inj_sd,inj_med,inj_iqr,inj_range,noninj_mean,noninj_sd,noninj_med,noninj_iqr,noninj_range,lsi_mean,lsi_sd,lsi_med,lsi_iqr,lsi_range,notes
Arhos 2020a,#3251,Arhos 2020a,Contact,quad mvic 90,lsi,29,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3,12.9,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,quad mvic 90,lsi,29,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,13.2,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,single hop,lsi,29,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,6.6,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,single hop,lsi,29,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6,8.8,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,triple crossover hop,lsi,29,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,8.2,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,triple crossover hop,lsi,29,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1,6.3,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,triple hop,lsi,29,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9,5.7,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,triple hop,lsi,29,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1,5.2,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,6m timed hop,lsi,29,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.6,5.7,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Contact,6m timed hop,lsi,29,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,7.5,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,quad mvic 90 hhd,lsi,27,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,19,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,quad mvic 90 hhd,lsi,27,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,9.4,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,quad mvic 90 hhd,lsi,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,14,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hs mvic 90 hhd,lsi,27,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,18.4,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hs mvic 90 hhd,lsi,27,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.8,11.7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hs mvic 90 hhd,lsi,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.1,31.2,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,single hop,lsi,22,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,20.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,single hop,lsi,23,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,16.7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,single hop,lsi,18,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,16,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple hop,lsi,19,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9,6.4,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple hop,lsi,23,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,13.3,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple hop,lsi,18,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,12.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,6m timed hop,lsi,20,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.3,24.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,6m timed hop,lsi,23,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.2,23.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,6m timed hop,lsi,18,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.6,12.8,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple crossover hop,lsi,16,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1,7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple crossover hop,lsi,23,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,16,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,triple crossover hop,lsi,17,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,8,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hip abd hhd sidely,lsi,27,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1,14.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hip abd hhd sidely,lsi,27,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.8,18,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Male,hip abd hhd sidely,lsi,25,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.3,17.8,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,quad mvic 90 hhd,lsi,37,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,11.9,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,quad mvic 90 hhd,lsi,35,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,8.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,quad mvic 90 hhd,lsi,32,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.8,10.5,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hs mvic 90 hhd,lsi,37,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,25.8,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hs mvic 90 hhd,lsi,35,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,19.7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hs mvic 90 hhd,lsi,32,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,22,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,single hop,lsi,30,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,11.9,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,single hop,lsi,29,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.9,10.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,single hop,lsi,24,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,10.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple hop,lsi,28,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4,8.2,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple hop,lsi,29,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,7.7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple hop,lsi,23,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,7.4,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,6m timed hop,lsi,30,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.6,8.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,6m timed hop,lsi,29,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.1,7.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,6m timed hop,lsi,22,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.4,8.6,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple crossover hop,lsi,28,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,8.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple crossover hop,lsi,28,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,10.9,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,triple crossover hop,lsi,22,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,11.2,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hip abd hhd sidely,lsi,36,1,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.5,15.7,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hip abd hhd sidely,lsi,34,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.9,15.1,NA,NA,NA,NA
Barnett 2020,#3474,Barnett 2020,Female,hip abd hhd sidely,lsi,31,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.5,13.2,NA,NA,NA,NA
Bodkin 2020,#2805,Bodkin 2020,Month 5-6,quad isk con 90,nm/kg,122,1,5.62,NA,NA,NA,NA,2,1.41,NA,1.41,NA,NA,NA,NA,NA,NA,NA,66.4,NA,66.4,NA,NA,"Inj MD 1.41, LSI MD 66.4"
Bodkin 2020,#2805,Bodkin 2020,Month 5-6,hs isk con 90,nm/kg,122,1,5.62,NA,NA,NA,NA,2,0.837,NA,0.837,NA,NA,NA,NA,NA,NA,NA,92.7,NA,92.7,NA,NA,"Inj MD 0.837, LSI MD 92.7"
Bodkin 2020,#2805,Bodkin 2020,Month 6-7,quad isk con 90,nm/kg,102,1,6.37,NA,NA,NA,NA,2,1.59,NA,1.59,NA,NA,NA,NA,NA,NA,NA,71.8,NA,71.8,NA,NA,"Inj MD 1.59, LSI MD 71.8"
Bodkin 2020,#2805,Bodkin 2020,Month 6-7,hs isk con 90,nm/kg,102,1,6.37,NA,NA,NA,NA,2,0.897,NA,0.897,NA,NA,NA,NA,NA,NA,NA,94.3,NA,94.3,NA,NA,"Inj MD 0.897, LSI MD 94.3"
Bodkin 2020,#2805,Bodkin 2020,Month 7-8,quad isk con 90,nm/kg,43,1,7.4,NA,NA,NA,NA,2,1.62,NA,1.62,NA,NA,NA,NA,NA,NA,NA,67.5,NA,67.5,NA,NA,Inj MD 1.62 LSI MD 67.5
Bodkin 2020,#2805,Bodkin 2020,Month 7-8,hs isk con 90,nm/kg,43,1,7.4,NA,NA,NA,NA,2,0.915,NA,0.915,NA,NA,NA,NA,NA,NA,NA,91.3,NA,91.3,NA,NA,Inj MD 0.915 LSI MD 91.3
Bodkin 2020,#2805,Bodkin 2020,Month 8-9,quad isk con 90,nm/kg,26,1,8.44,NA,NA,NA,NA,2,1.53,NA,1.53,NA,NA,NA,NA,NA,NA,NA,75.2,NA,75.2,NA,NA,Inj MD 1.53 LSI MD 75.2
Bodkin 2020,#2805,Bodkin 2020,Month 8-9,hs isk con 90,nm/kg,26,1,8.44,NA,NA,NA,NA,2,0.885,NA,0.885,NA,NA,NA,NA,NA,NA,NA,90.5,NA,90.5,NA,NA,Inj MD 0.885 LSI MD 90.5
Bodkin 2020,#2805,Bodkin 2020,Repeat measure group,quad isk con 90,nm/kg,40,1,5.62,NA,NA,NA,NA,2,1.45,0.37,NA,NA,NA,NA,NA,NA,NA,NA,63.5,13.2,NA,NA,NA,NA
Bodkin 2020,#2805,Bodkin 2020,Repeat measure group,quad isk con 90,nm/kg,40,2,8.11,NA,NA,NA,NA,2,1.72,0.89,NA,NA,NA,NA,NA,NA,NA,NA,72.3,12.5,NA,NA,NA,NA
Bodkin 2020,#2805,Bodkin 2020,Repeat measure group,hs isk con 90,nm/kg,40,1,5.62,NA,NA,NA,NA,2,0.92,0.29,NA,NA,NA,NA,NA,NA,NA,NA,97,19.8,NA,NA,NA,NA
Bodkin 2020,#2805,Bodkin 2020,Repeat measure group,hs isk con 90,nm/kg,40,2,8.11,NA,NA,NA,NA,2,1.03,0.29,NA,NA,NA,NA,NA,NA,NA,NA,99.5,16.9,NA,NA,NA,NA
Boo 2020,#2769,Boo 2020,Non-dominant leg injuries,single hop,cm,131,1,5.4,NA,NA,NA,NA,2,120.6,NA,NA,NA,NA,133.7,NA,NA,NA,NA,90.2,NA,NA,NA,NA,NA
Boo 2020,#2769,Boo 2020,Dominant leg injuries,single hop,cm,141,1,5.4,NA,NA,NA,NA,2,129.88,NA,NA,NA,NA,139.3,NA,NA,NA,NA,93.2,NA,NA,NA,NA,NA
Bookbinder 2020,#2766,Bookbinder 2020,ACLR,single hop,cm/cm ,27,1,26.25,NA,NA,NA,25.67,1,0.75,0.12,NA,NA,NA,0.8,0.15,NA,NA,NA,94.65,8.1,NA,NA,NA,NA
Bookbinder 2020,#2766,Bookbinder 2020,ACLR,4-jump test,cm,27,1,26.25,NA,NA,NA,25.67,1,20.22,4.04,NA,NA,NA,22.48,5.61,NA,NA,NA,92.58,18.71,NA,NA,NA,NA
Bookbinder 2020,#2766,Bookbinder 2020,Healthy Control,single hop,cm/cm ,25,1,26.25,NA,NA,NA,25.67,1,0.84,0.14,NA,NA,NA,0.85,0.13,NA,NA,NA,98.65,5.75,NA,NA,NA,NA
Bookbinder 2020,#2766,Bookbinder 2020,Healthy Control,4-jump test,cm,25,1,26.25,NA,NA,NA,25.67,1,23.6,4.98,NA,NA,NA,24.23,5.87,NA,NA,NA,98.55,11.54,NA,NA,NA,NA
Carolan 2020,#2558,Carolan 2020,Primary ACLR,quad isk con 60,nm/kg,298,1,9.2,NA,NA,NA,0.59,1,224,46.64,NA,NA,NA,NA,NA,NA,NA,NA,83.91,14.11,NA,NA,NA,NA
Carolan 2020,#2558,Carolan 2020,Primary ACLR,hs isk con 60,nm/kg,298,1,9.2,NA,NA,NA,0.59,1,153.28,29.25,NA,NA,NA,NA,NA,NA,NA,NA,96.97,13.74,NA,NA,NA,NA
Carolan 2020,#2558,Carolan 2020,Primary ACLR,vertical hop,cm,298,1,9.2,NA,NA,NA,0.59,1,12.14,3.24,NA,NA,NA,NA,NA,NA,NA,NA,85.4,15.31,NA,NA,NA,NA
Carolan 2020,#2558,Carolan 2020,Primary ACLR,single leg drop jump,reactive strength index,298,1,9.2,NA,NA,NA,0.59,1,0.35,0.13,NA,NA,NA,NA,NA,NA,NA,NA,77.19,19.36,NA,NA,NA,NA
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,12.88,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,10.58,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,12.73,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,12.12,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8,9.66,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,quad isk con 90,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,10.43,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7,11.09,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,12.04,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,6.9,NA,NA,NA,NA
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9,6.63,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,7.17,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,hs isk con 90,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,8.66,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8,12.64,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8,13.21,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,11.2,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,10.63,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,11.06,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Standard,single hop,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,6.61,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,13.19,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,12.43,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2,11.81,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1,11.5,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.1,11.65,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,quad isk con 90,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9,11.89,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,12.04,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8,12.58,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,10.55,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,8.93,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,7.71,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,hs isk con 90,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,9.74,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,1,0.1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4,13.36,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,2,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,12.49,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,3,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,10.92,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,4,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,11.49,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,5,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3,10.92,NA,NA,NA,SD/CI extracted graphically
Cristiani 2020,#2173,Cristiani 2020,BPTB Accelerated,single hop,lsi,40,6,24,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6,10.2,NA,NA,NA,SD/CI extracted graphically
