study,study_id,cohort,measure,units,timepoint,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_med,inj_iqr,inj_range,noninj_med,noninj_iqr,noninj_range,lsi_med,lsi_iqr,lsi_range,notes,graft_group,es_id,timepoint_mean,acl_n,female,inj_mean,inj_sd,noninj_mean,noninj_sd,lsi_mean,lsi_sd,group,graft,group_indep,group_indep_notes,timepoint_combo,combination_notes,ri,yi,vi,sei,zi,pval,ci.lb,ci.ub
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,22,12,62,37,NA,NA,NA,NA,0.9639032258064516,0.08644124502737453,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.03676437757840211,1.297129899239859e-4,0.011389161072001129,-3.2280145434752763,0.001246526364940989,-0.059086723093649915,-0.014442032063154309
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,23,24,59,37,NA,NA,NA,NA,1.0015254237288136,0.12249938155117684,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.001524261451863807,2.535664695632469e-4,0.01592377058247345,0.09572239464071972,0.9237410542186096,-0.029685755387862556,0.03273427829159017
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,24,6,64,37,NA,NA,NA,NA,0.931109375,0.23612998284759004,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.07137852740243854,0.001004895492788256,0.031700086636920345,-2.251682407684831,0.02434234917481411,-0.13350955551760185,-0.009247499287275224
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,25,12,62,37,NA,NA,NA,NA,0.9637258064516129,0.16711644799947706,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.0369484579718499,4.849977523321336e-4,0.022022664514815948,-1.6777469387045556,0.09339651187346744,-0.08011208726449742,0.006215171320797616
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,26,24,59,37,NA,NA,NA,NA,0.9757457627118643,0.26565518182088516,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.024553215526932702,0.001256351676378547,0.03544505150763005,-0.692712084834953,0.48849025359684023,-0.09402423991205472,0.04491780885818932
Barnett 2020,#3474,Barnett 2020,single hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,27,6,52,37,NA,NA,NA,NA,0.857153846153846,0.17280703106331366,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.15413785939662,7.816312557265807e-4,0.027957668996656013,-5.513258613050189,3.522500431382038e-8,-0.20893388372175786,-0.09934183507148216
Barnett 2020,#3474,Barnett 2020,single hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,28,12,52,37,NA,NA,NA,NA,0.9252115384615385,0.14176082267201173,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.07773287738664587,4.514680545980345e-4,0.021247777639038734,-3.658400361072424,2.537943721779672e-4,-0.11937775631067729,-0.03608799846261446
Barnett 2020,#3474,Barnett 2020,single hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,29,24,42,37,NA,NA,NA,NA,0.9414285714285714,0.13045345733102182,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.060356800540897496,4.5717992001844093e-4,0.02138176606406592,-2.8228164296649383,0.004760381977701852,-0.10226429195232745,-0.018449309129467552
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,30,6,47,37,NA,NA,NA,NA,0.9058085106382979,0.07776738958275628,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.09892735218954839,1.5682828414517033e-4,0.01252311000291742,-7.899583423486816,2.7983709274197606e-15,-0.12347219676969982,-0.07438250760939695
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,31,12,52,37,NA,NA,NA,NA,0.9235769230769231,0.10886911482553684,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.07950118765530466,2.6721442215101986e-4,0.016346694532871773,-4.863441198796168,1.1536230772824326e-6,-0.11154012020601113,-0.047462255104598186
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,32,24,41,37,NA,NA,NA,NA,0.9445121951219513,0.0975147737399876,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.05708668040137541,2.599811369587659e-4,0.016123930567909485,-3.5404940601140824,3.993786251813164e-4,-0.08868900360370247,-0.025484357199048367
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,33,6,50,37,NA,NA,NA,NA,1.0788,0.17234345159048675,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.07584931228343783,5.104317646043918e-4,0.02259273698789927,3.357243185013968,7.872383868808857e-4,0.031568361474969324,0.12013026309190633
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,34,12,52,37,NA,NA,NA,NA,1.052403846153846,0.16570293045503945,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.05107692482749921,4.7675162402557495e-4,0.02183464275012474,2.3392608439727005,0.019321937866534206,0.008281811421956123,0.0938720382330423
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,35,24,40,37,NA,NA,NA,NA,1.0449000000000002,0.10547616087448629,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.0439211870579283,2.547411929053071e-4,0.015960613801019905,2.7518482437762937,0.005925997529085408,0.012638958836776355,0.07520341527908025
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,36,6,44,37,NA,NA,NA,NA,0.9207272727272726,0.07782385108075912,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.0825914073965503,1.6237185200309342e-4,0.01274252141466097,-6.481559238466286,9.077951184790187e-11,-0.10756629044151618,-0.05761652435158442
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,37,12,51,37,NA,NA,NA,NA,0.9445294117647058,0.1378004140692148,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.05706845248866849,4.1734949952219104e-4,0.020429133596953912,-2.793483738203058,0.005214365069195625,-0.09710881857405537,-0.01702808640328162
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,38,24,39,37,NA,NA,NA,NA,0.9643846153846154,0.0981632945079981,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.036265085327648695,2.656642383110225e-4,0.01629920974498526,-2.224959730873228,0.026083941589785355,-0.06821094940428407,-0.004319221251013312
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,39,6,63,37,NA,NA,NA,NA,1.0247142857142857,0.15827996109093945,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.02441382808898404,3.787090979634929e-4,0.01946044958276897,1.2545356665655343,0.2096473703101328,-0.013727952216200656,0.06255560839416874
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,40,12,61,37,NA,NA,NA,NA,1.037409836065574,0.163312877329497,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.036727064349221065,4.0626583633633845e-4,0.020156037218072863,1.8221371568162132,0.06843417704536851,-0.0027780426692506494,0.07623217136769278
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,41,24,56,37,NA,NA,NA,NA,1.0530357142857143,0.15300742278912952,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.051677149277263544,3.770081785822524e-4,0.019416698447013395,2.6614797267561383,0.007779802575849984,0.013621119622442494,0.0897331789320846
Boo 2020,#2769,Boo 2020,single hop,cm,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,63,5.4,272,48,125.41058823529409,NA,136.60294117647058,NA,0.9175514705882354,0.1417,Non-dominant leg injuries + Dominant leg injuries,mixed,NA,NA,NA,NA,0.85,-0.08548541788893523,8.768189458218404e-5,0.00936386109370403,-9.129291542610876,6.894901062984507e-20,-0.10383824838883096,-0.06713258738903949
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,73,0.1,80,21,NA,NA,NA,NA,0.7909999999999999,0.13009319687600007,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.23445731121448327,3.381163858543274e-4,0.018387941316371646,-12.750601450187082,3.0934931073080683e-37,-0.2704970139444077,-0.1984176084845588
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,74,4,80,21,NA,NA,NA,NA,0.6265,0.11774791083636733,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.46760650464601416,4.4154430026608493e-4,0.021012955533814964,-22.25324771156163,1.0491388681257507e-109,-0.5087911407010332,-0.42642186859099523
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,75,6,80,21,NA,NA,NA,NA,0.718,0.12207297568424005,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.33128570993391293,3.6132681001284773e-4,0.01900859831794148,-17.42820298439497,5.040523700932898e-68,-0.3685418780336669,-0.29402954183415897
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,76,8,80,21,NA,NA,NA,NA,0.777,0.11754574439475236,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.25231492861448956,2.860762449980963e-4,0.01691378860569377,-14.917706168418801,2.5281595160549754e-50,-0.2854653451237733,-0.21916451210520585
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,77,12,80,21,NA,NA,NA,NA,0.8545,0.10639243037221364,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.15723877642649142,1.9377928025187153e-4,0.013920462645037037,-11.295513693472726,1.3809424115625094e-29,-0.1845223818588992,-0.12995517099408366
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,78,24,80,21,NA,NA,NA,NA,0.9275,0.11113865783705858,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.07526248450054686,1.794785168056434e-4,0.013396959237291253,-5.6178781443963155,1.93316754024882e-8,-0.1015200421079889,-0.049004926893104817
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,79,0.1,80,21,NA,NA,NA,NA,0.8484999999999999,0.11502249807446863,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.16428519430785615,2.2970577325251676e-4,0.015156047415223957,-10.839580387089239,2.2349378308179918e-27,-0.1939905013896765,-0.1345798872260358
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,80,4,80,21,NA,NA,NA,NA,0.8965000000000001,0.12424609104209479,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.1092569859369494,2.4009045431434736e-4,0.015494852510248278,-7.051179471678543,1.7740749422044098e-12,-0.13962633880279607,-0.07888763307110272
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quad,81,6,80,21,NA,NA,NA,NA,0.9684999999999999,0.08960806007486015,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.03200679613508657,1.0700520753742562e-4,0.010344332145548384,-3.0941384793855917,0.0019738533180849002,-0.05228131458448135,-0.011732277685691798
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,82,8,80,21,NA,NA,NA,NA,0.987,0.0785595815168415,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.01308523954865548,7.919067235897039e-5,0.008898914111225615,-1.470431041934542,0.14144504923833426,-0.03052679070817295,0.004356311610861988
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,83,12,80,21,NA,NA,NA,NA,0.9925,0.07560278442397625,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.0075282664207915245,7.253115003151121e-5,0.00851652217935885,-0.8839601732074954,0.3767177125174295,-0.02422034316587144,0.00916381032428839
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,84,24,80,21,NA,NA,NA,NA,0.9704999999999999,0.09188369643677857,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.02994387637307219,1.1204586925436489e-4,0.010585172140988775,-2.8288511489691364,0.0046715421050437704,-0.05069043253956692,-0.009197320206577458
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,85,0.1,80,21,NA,NA,NA,NA,0.7909999999999999,0.12988460701422824,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.23445731121448327,3.3703299163712237e-4,0.018358458313189656,-12.77107844322838,2.3783613256726372e-37,-0.27043922832001493,-0.1984753941089516
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,86,4,80,21,NA,NA,NA,NA,0.7945,0.12790158301095753,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.2300422930053664,3.2394706481329237e-4,0.017998529518082645,-12.78117152705442,2.0889898661649303e-37,-0.2653187626354894,-0.19476582337524337
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,87,6,80,21,NA,NA,NA,NA,0.8965000000000001,0.11182586825116353,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.1092569859369494,1.9448852512398844e-4,0.01394591428067692,-7.834336547467018,4.713247707779856e-15,-0.13659047565855897,-0.08192349621533981
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,88,8,80,21,NA,NA,NA,NA,0.92,0.1108794704263387,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.08338160893905101,1.8156688566318106e-4,0.013474675716438636,-6.188023422139083,6.09232780097796e-10,-0.1097914880466272,-0.05697172983147484
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,89,12,80,21,NA,NA,NA,NA,0.9490000000000001,0.10927858951588951,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.05234648037220912,1.6574779128857112e-4,0.012874307410053992,-4.065964770371254,4.7834161966183144e-5,-0.07757965922181208,-0.027113301522606156
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,90,24,80,21,NA,NA,NA,NA,0.98,0.08549448053840461,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.020202707317519466,9.513361883761513e-5,0.009753646438005385,-2.071297893144762,0.03833096605740803,-0.03931950305394741,-0.0010859115810915275
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,109,0.1,80,24,NA,NA,NA,NA,0.782,0.11463085055400303,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.24590053843682594,2.6859599743293345e-4,0.016388898603412416,-15.004091756698386,6.902937052764209e-51,-0.27802218944579304,-0.21377888742785883
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,110,4,80,24,NA,NA,NA,NA,0.7659999999999999,0.11911634882316542,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.26657310924154587,3.022701207350676e-4,0.017385917310716384,-15.332703157240644,4.623389843074997e-53,-0.30064888100874143,-0.23249733747435028
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,111,6,80,24,NA,NA,NA,NA,0.8225,0.10643793639392615,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.19540679634261007,2.0932981594400403e-4,0.014468234721070986,-13.505918317597313,1.4430309015943548e-41,-0.2237640153157811,-0.16704957736943904
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,112,8,80,24,NA,NA,NA,NA,0.882,0.1233937892083304,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.12556322297534575,2.4465801310908703e-4,0.015641547657092216,-8.02754469877619,9.944274295142405e-16,-0.15622009304571335,-0.09490635290497815
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,113,12,80,24,NA,NA,NA,NA,0.9165000000000001,0.10662757142194403,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.08719321170237725,1.691936696025043e-4,0.013007446698045867,-6.7033303096661125,2.037222427500974e-11,-0.11268733876137159,-0.061699084643382904
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,114,24,80,24,NA,NA,NA,NA,0.9235,0.10849130805760723,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.0795844793428424,1.7251469882460053e-4,0.013134485099332998,-6.0592005503804565,1.3679974443991657e-9,-0.10532759709301308,-0.053841361592671735
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hs,115,0.1,80,24,NA,NA,NA,NA,0.8465,0.12497553937886394,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.16664507740894702,2.724621176150078e-4,0.016506426554981784,-10.095769478261307,5.767693731504635e-24,-0.19899707897016689,-0.13429307584772715
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,116,4,80,24,NA,NA,NA,NA,0.7945,0.11726656423980193,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.2300422930053664,2.723144028784979e-4,0.01650195148697565,-13.940308404550203,3.603796067407563e-44,-0.2623855235944659,-0.19769906241626695
