study,group,name,graft,n,age_mean,age_sd,female,bmi_mean,bmi_sd,tegner,age_other,bmi_note,group_indep,group_indep_notes,timepoint_combo,combination_notes
Hughes 2019a,5,BPTB 9-15,BPTB,10,23,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA
Hughes 2019a,6,HS 9-15,HS,13,23,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA
Keays 2019,1,ACLD,ACLD,55,28,9.7,22,NA,NA,NA,NA,NA,NA,NA,0,NA
Kouloumentas 2019,1,Group A,HS - ST4,45,27.6,11.4,17,25.6,2.8,NA,NA,NA,1,NA,1,NA
Kouloumentas 2019,2,Group B,HS - ST/G,45,29.7,11,18,24.8,2.6,NA,NA,NA,1,NA,1,NA
Krolikowska 2019,1,Group I,HS,77,29.23,7.36,0,NA,NA,NA,NA,NA,1,NA,1,NA
Krolikowska 2019,2,Group II,HS,66,29.44,8.99,0,NA,NA,NA,NA,NA,1,NA,1,NA
Krolikowska 2019,3,Healthy Control,"NA",98,27.74,8.42,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kuenze 2019a,1,Men,mixed,29,20.8,NA,0,NA,NA,9,Range 13.0-36.0,NA,1,NA,1,NA
Kuenze 2019a,2,Women,mixed,31,18.7,NA,31,NA,NA,9,Range 14-34,NA,1,NA,1,NA
Kuenze 2019b,1,BTB,BPTB,190,20.4,3.9,102,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Kuenze 2019b,2,HSA,HS,118,21.7,5.8,60,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Kuenze 2019b,3,Male,mixed,146,21.5,4.7,0,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Kuenze 2019b,4,Female,mixed,162,20.3,4.7,162,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Kuenze 2019b,5,Less than 12 months,mixed,230,20.8,5.1,118,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Kuenze 2019b,6,More than 12 months,mixed,78,21.3,3.6,44,NA,NA,NA,NA,NA,0,"Group 1/2 are indep, 3/4 are indep, 5/6 are indep",0,NA
Lee 2019,1,S group,HS - ST/G Single,60,27.4,6.6,3,NA,NA,6.4,NA,NA,1,NA,1,NA
Lee 2019,2,D group,HS - ST/G Dual,60,26.9,7.3,5,NA,NA,6.5,NA,NA,1,NA,1,NA
Leister 2019,1,IB,ACL repair - IB,25,35.56,11.9,16,24.35,3.26,NA,NA,NA,1,NA,1,NA
Leister 2019,2,AI,HS,21,33.62,10.08,10,24.83,2.94,NA,NA,NA,1,NA,1,NA
Leister 2019,3,Healthy Control,"NA",42,30.37,6.61,22,22.85,3.56,NA,NA,NA,1,NA,1,NA
Mariani 2019,1,Group 1,BPTB,59,23.69,0.71,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Miles 2019,1,BPTB,BPTB,22,23.4,4.4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Miles 2019,2,HT,HS,22,26.1,4.4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Miles 2019,3,Healthy Control,"NA",22,23.1,3.4,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Murray 2019b,1,Group 1,BEAR,62,19.4,5.1,36,24.7,3.8,NA,NA,NA,NA,NA,0,NA
Norte 2019a,1,ACLR,mixed,72,26,9.3,40,NA,NA,8.1,NA,NA,1,NA,0,NA
Norte 2019a,2,Healthy Control,"NA",30,22.7,4.6,18,NA,NA,7.2,NA,NA,1,NA,0,NA
Norte 2019b,1,High Physical Activity,mixed,39,21.4,7.1,18,NA,NA,NA,NA,NA,1,NA,1,NA
Norte 2019b,2,Low Physical Activity,mixed,38,21.7,8.5,17,NA,NA,NA,NA,NA,1,NA,1,NA
Peebles 2019b,1,ACLR,mixed,25,18.7,3,19,NA,NA,NA,NA,NA,1,NA,0,NA
Peebles 2019b,2,Healthy Control,"NA",18,22.2,3.8,18,NA,NA,NA,NA,NA,1,NA,0,NA
Raoul 2019,1,Group 1,mixed,234,28.4,8.6,61,23.6,3.3,NA,NA,NA,NA,NA,0,NA
Shibata 2019,1,All,HS,386,23.7,9.5,181,22.6,3.3,7.1,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),1,NA
Shibata 2019,2,Male,HS,205,NA,NA,0,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),1,NA
Shibata 2019,3,Female,HS,181,NA,NA,181,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (men and women)),1,NA
Strong 2019,1,ACLR,mixed,33,NA,NA,12,27.2,3.3,NA,NA,NA,1,NA,1,NA
Strong 2019,2,ACLPT,ACLD,37,NA,NA,14,28.9,4.6,NA,NA,NA,1,NA,1,NA
Strong 2019,3,Healthy Control,"NA",33,NA,NA,12,24.6,2.5,NA,NA,NA,1,NA,1,NA
Sundemo 2019,1,Group 1,mixed,101,28.7,8.7,32,NA,NA,NA,NA,NA,NA,NA,0,NA
Welling 2019,1,ACLR,mixed,38,24.2,4.7,0,NA,NA,9,NA,NA,1,NA,0,NA
Welling 2019,2,Healthy Control,"NA",30,22.8,2.5,0,NA,NA,9,NA,NA,1,NA,0,NA
Barie 2018,1,Group 1,QTPB,69,27,NA,27,NA,NA,NA,NA,NA,NA,NA,0,NA
Blakeney 2018,1,G6M,not stated,371,28,9.9,84,24,3.3,NA,NA,NA,0,overlap between G6M and GTR - GTR = 33 of G6M participants retested,0,NA
Blakeney 2018,2,GTR,not stated,33,22.9,6.2,8,23.2,3,NA,NA,NA,0,overlap between G6M and GTR - GTR = 33 of G6M participants retested,0,NA
Blakeney 2018,3,Healthy Control,"NA",39,26.5,8,10,21.6,3,NA,NA,NA,0,overlap between G6M and GTR - GTR = 33 of G6M participants retested,0,NA
Calvo-Lobo 2018,1,ACLR,mixed,40,33.02,8.7,15,24.26,3.55,NA,NA,NA,1,NA,0,NA
Calvo-Lobo 2018,2,Healthy Control,"NA",40,35.9,10.12,20,23.5,3,NA,NA,NA,1,NA,0,NA
Czamara 2018,1,ACLR,HS,30,30.23,9.8,0,NA,NA,NA,NA,NA,1,NA,0,NA
Czamara 2018,2,Healthy Control,"NA",30,23.7,3.17,0,NA,NA,NA,NA,NA,1,NA,0,NA
Ebert 2018,1,Group 1,HS,111,27.3,9.1,38,25.5,3.6,NA,NA,NA,NA,NA,0,NA
Edwards 2018,1,RTS,HS,72,22.9,6.4,22,NA,NA,NA,NA,NA,1,NA,1,NA
Edwards 2018,2,No RTS,HS,41,31.1,8.3,16,NA,NA,NA,NA,NA,1,NA,1,NA
Fischer 2018,1,Quadriceps,QT,61,21.7,7.4,27,NA,NA,NA,NA,NA,1,NA,1,NA
Fischer 2018,2,Hamstrings,HS,63,21.5,6.9,16,NA,NA,NA,NA,NA,1,NA,1,NA
Flosadottir 2018,1,Exercise alone,ACLD,20,25.7,4.8,7,23.4,2.4,9,NA,NA,1,NA,1,NA
Flosadottir 2018,2,Exercise + ACLR,mixed,46,26.7,5.4,11,24.2,3.3,8.5,NA,NA,1,NA,1,NA
Flosadottir 2018,3,ACLX,mixed,23,25.7,4.8,7,23.4,2,8,NA,NA,1,NA,1,NA
Grindem 2018,1,Group 1,ACLD,118,28.6,10.5,60,24.51,3.7,NA,NA,NA,NA,NA,0,NA
Gupta 2018,1,BPTB,BPTB,80,NA,NA,6,NA,NA,NA,24 MD,NA,1,NA,1,NA
Gupta 2018,2,STGPI,HS ,85,NA,NA,7,NA,NA,NA,24 MD,NA,1,NA,1,NA
Gupta 2018,3,STGF,HS,84,NA,NA,9,NA,NA,NA,24 MD,NA,1,NA,1,NA
Harput 2018,1,Group 1,HS,72,28,7.6,0,24.2,4.2,7.3,NA,NA,NA,NA,0,NA
Johnson 2018,1,ACLR,BPTB,67,21.34,5.73,24,NA,NA,NA,NA,NA,1,NA,0,NA
Johnson 2018,2,Healthy Control,"NA",10,23.5,3.44,4,NA,NA,NA,NA,NA,1,NA,0,NA
King 2018,1,Group 1,mixed,156,24.8,4.8,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Kline 2018,1,ACLR,mixed,20,22.8,NA,11,NA,NA,5.5,Range 15-45,NA,1,NA,0,NA
Kline 2018,2,Healthy Control,"NA",45,25.8,NA,22,NA,NA,6,Range 15-45,NA,1,NA,0,NA
Kovalak 2018,1,Group A ACLR,HS,43,32.56,4.89,0,25.19,3.22,NA,NA,NA,1,NA,0,NA
Kovalak 2018,2,Group B Non reconstructed,ACLD,39,31.67,7.27,0,24.76,3.27,NA,NA,NA,1,NA,0,NA
Kwak 2018,1,Allograft,BPTB,45,34.5,12.8,7,25.2,4,NA,NA,NA,1,NA,1,NA
Kwak 2018,2,Autograft,BPTB Autograft,45,34.5,12.8,7,25.3,4.5,NA,NA,NA,1,NA,1,NA
Labanca 2018,1,NMES+STSTS,BPTB,21,23.2,4.6,0,NA,NA,8.3,NA,NA,1,NA,1,NA
Labanca 2018,2,STSTS,BPTB,21,21.1,3.3,0,NA,NA,8.2,NA,NA,1,NA,1,NA
Labanca 2018,3,"NAT",BPTB,21,22,3.2,0,NA,NA,8.1,NA,NA,1,NA,1,NA
Lee 2018a,1,Group 1,HS,75,27.5,9.2,NA,NA,NA,6.5,NA,NA,NA,NA,0,NA
Lee 2018b,1,PFOA,HS,19,36.2,11.1,3,24.2,2.8,NA,NA,NA,1,NA,1,NA
Lee 2018b,2,No PFOA,HS,73,28.8,8.4,4,24.6,3.3,NA,NA,NA,1,NA,1,NA
Meierbachtol 2018,1,Group 1,mixed,58,21.2,7.8,37,NA,NA,NA,NA,NA,NA,NA,0,NA
Nishio 2018,1,Group Y,HS,56,28,NA,25,23,3,NA,Range 20-39,NA,NA,NA,0,NA
Norte 2018,1,Healthy Control,"NA",30,22.7,4.6,18,NA,NA,7.2,NA,NA,1,NA,1,NA
Norte 2018,2,Early,mixed,34,22.5,6.3,14,NA,NA,8.4,NA,NA,1,NA,1,NA
Norte 2018,3,Late,mixed,30,24.9,5.9,20,NA,NA,8.4,NA,NA,1,NA,1,NA
Novaretti 2018,1,Group 1,not stated,58,34.5,11.3,11,NA,NA,NA,NA,NA,NA,NA,0,NA
O'Malley 2018,1,ACLR,BPTB,118,23.6,5.8,0,NA,NA,NA,NA,NA,1,NA,0,NA
O'Malley 2018,2,Healthy Control,"NA",44,24.1,3.6,0,NA,NA,NA,NA,NA,1,NA,0,NA
Pamukoff 2018,1,ACLR,mixed,38,21.9,2.4,27,23.9,3.8,7,NA,NA,1,NA,0,NA
Pamukoff 2018,2,Healthy Control,"NA",38,21.9,1.3,27,23.2,2.8,6.8,NA,NA,1,NA,0,NA
Runner 2018,1,Adductor Canal Block,mixed,38,25.1,1.8,22,25,0.7,NA,NA,NA,1,NA,1,NA
Runner 2018,2,Femoral nerve block,mixed,35,24.2,1.7,20,23.3,0.5,NA,NA,NA,1,NA,1,NA
Van Yperen 2018,1,Operative,BPTB,25,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA
Van Yperen 2018,2,Non-operative,ACLD,25,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA
Webster 2018,1,Return to competitive sport,HS,158,26,8,41,NA,NA,NA,NA,NA,1,NA,0,NA
Webster 2018,2,No Return to sport,HS,477,29,11,205,NA,NA,NA,NA,NA,1,NA,0,NA
Welling 2018a,1,Males,mixed,45,25.4,7.2,0,NA,NA,NA,NA,NA,1,NA,1,NA
Welling 2018a,2,Females,mixed,20,22.8,6.5,20,NA,NA,NA,NA,NA,1,NA,1,NA
Welling 2018b,1,Group 1,mixed,62,24.2,6.2,17,NA,NA,NA,NA,NA,NA,NA,0,NA
Wellsandt 2018b,1,Operative,mixed,83,NA,NA,27,26.6,4.3,NA,NA,NA,1,NA,1,NA
Wellsandt 2018b,2,Non-operative,ACLD,22,NA,NA,12,26.5,4.5,NA,NA,NA,1,NA,1,NA
Baumgart 2017,1,Group 1,BPTB,50,29.2,8.5,16,26.7,4.6,NA,NA,NA,NA,NA,0,NA
Bodkin 2017,1,Early,mixed,17,21.8,4.2,11,NA,NA,7.4,NA,NA,1,NA,1,NA
Bodkin 2017,2,Middle,mixed,17,20.1,1.5,14,NA,NA,6.4,NA,NA,1,NA,1,NA
Bodkin 2017,3,Late,mixed,17,26.7,4.5,11,NA,NA,6.5,NA,NA,1,NA,1,NA
Chen 2017,1,ACLR,mixed,50,28,6,0,NA,NA,5.4,NA,NA,1,NA,1,NA
Chen 2017,2,Healthy Control - Basketball,"NA",26,21,2,0,NA,NA,7,NA,NA,1,NA,1,NA
Chen 2017,3,Healthy Control,"NA",31,24,3,0,NA,NA,5.2,NA,NA,1,NA,1,NA
Christensen 2017,1,Femoral nerve block,mixed,230,25.4,9.1,101,25.8,4.9,NA,NA,NA,1,NA,1,NA
Christensen 2017,2,Adductor canal block,mixed,30,28.9,8.6,17,26.6,4.8,NA,NA,NA,1,NA,1,NA
Drocco 2017,1,ST3,HS,45,29.5,10,11,23.3,2.8,7.2,NA,NA,1,NA,1,NA
Drocco 2017,2,GST,HS,45,27.7,9,18,23.2,2.9,6.9,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,1,Men BPTB,BPTB,24,36.9,8.9,0,25.4,2.4,NA,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,2,Men STG,HS - ST/G,27,37.6,9.8,0,25.9,2.7,NA,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,3,Healthy Control - Men,"NA",22,35.5,10.6,0,24.3,2.42,NA,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,4,Women BPTB,BPTB,23,36,11,23,23.2,4.3,NA,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,5,Women STG,HS - ST/G,23,33.5,10,23,23.1,4.1,NA,NA,NA,1,NA,1,NA
Engelen-VanMelick 2017,6,Healthy Control - Women,"NA",22,31.5,11.9,22,23.3,3.2,NA,NA,NA,1,NA,1,NA
Falstrom 2017,1,ACLR,mixed,77,18.4,2.3,77,22.8,2.7,NA,NA,NA,1,NA,0,NA
Falstrom 2017,2,Healthy Control,"NA",77,22.1,2,77,22.1,2,NA,NA,NA,1,NA,0,NA
Fischer 2017,1,Female,not stated,60,20.8,8,60,21.9,2,NA,NA,NA,1,NA,1,NA
Fischer 2017,2,Male,not stated,109,23.2,8,0,23,2,NA,NA,NA,1,NA,1,NA
Gokeler 2017a,1,Male,mixed,38,24,3.6,0,NA,NA,NA,NA,NA,1,NA,1,NA
Gokeler 2017a,2,Female,HS,14,21.7,3.5,14,NA,NA,NA,NA,NA,1,NA,1,NA
Gokeler 2017a,3,Healthy Control - Male,"NA",87,19.2,NA,0,NA,NA,NA,Range 17-24,NA,1,NA,1,NA
Gokeler 2017a,4,Healthy Control - Female,"NA",85,19.3,NA,85,NA,NA,NA,Range 17-22,NA,1,NA,1,NA
Haillotte 2017,1,Group 1,fascia lata,53,26.7,9.7,13,NA,NA,NA,NA,NA,NA,NA,0,NA
Hamrin Senorski 2017,1,Women Returned,not stated,23,20.8,3,23,NA,NA,7.9,NA,NA,1,NA,1,NA
Hamrin Senorski 2017,2,Women not returned,not stated,54,21.4,3.8,54,NA,NA,8.2,NA,NA,1,NA,1,NA
Hamrin Senorski 2017,3,Men returned,not stated,29,23.7,4.5,0,NA,NA,8.1,NA,NA,1,NA,1,NA
Hamrin Senorski 2017,4,Men not returned,not stated,51,23.3,4.2,0,NA,NA,8.8,NA,NA,1,NA,1,NA
KyoungHo 2017,1,Group 1,mixed,73,30.67,9.81,0,25.05,3.15,NA,NA,NA,NA,NA,0,NA
McGrath 2017,1,ACLR,mixed,64,27.9,NA,20,24.9,NA,NA,NA,NA,1,NA,0,NA
McGrath 2017,2,Healthy Control,"NA",32,26.3,NA,16,25.7,NA,NA,NA,NA,1,NA,0,NA
Meierbachtol 2017,1,Group 1,not stated,71,20.2,NA,44,24.4,NA,NA,NA,NA,NA,NA,0,NA
Menzer 2017,1,Group 1,mixed,88,19.4,3.7,39,NA,NA,NA,NA,NA,NA,NA,0,NA
Myklebust 2017,1,ACL group,not stated,80,23.25,4.13,80,23.42,0.53,NA,NA,NA,1,NA,0,NA
